tweet,username,creation date
 linuxproject vakruta dloesch i said kids are coddled too much these days someone should be held liable for stealing these kids childhood by trying to sell them a bill of goods that is very debatable i honestly dont know because some say yes while others say no on climate change,Robert,2019-09-24 12:21:09
 redhotblaziken zubymusic i just think rants like this distract from the actual issue and gives people the chance to quickly disregarded what is being said about our climate because they dont want to change themselves,Ashvvicat529_Myrt,2019-09-24 12:21:09
 sure you can be critical of the medias portrayal and use of a child as a face of climate change but you cant really deny her message,Dave SH,2019-09-24 12:21:08
 japanus trade talks end with no details on trump tariff threat china gives new waivers for tarifffree us soy purchases worlds wealthiest families stockpiling cash on recession fear heres a rundown of your top economic news today ,Bloomberg Economics,2019-09-24 12:21:07
 united states aint shit lol so yall dont care about climate change 70 countries hopped on board us are you part of that 70 not saying anything speaks volume,ig:Vanityve_ ✨,2019-09-24 12:21:07
 europe dancing for change climate or not who caresclimatechange ,ChronoSkopos,2019-09-24 12:21:07
 why would they pick a poor little retarded girl to be the spokesperson on climate change i mean i get theyre trying to get sympathy using a little girl but why go full on retarded gretathurnberg,Scarecrow,2019-09-24 12:21:06
 i dont really believe in this climate change bulshit however i feel like that little girl just scolded me to death well at least in 10 to 12 years poor for kid parents have screwed her up gretathunbergoutdidtrump,Brady 🇺🇸,2019-09-24 12:21:04
 freep parents kids you should be terrified of climate change kids were terrified of climate change parents look how our kids are terrified of climate change,🍺¯\_(ツ)_/¯,2019-09-24 12:21:04
 patunleashed earth day ice age nuclear war nuclear winter frying hambergers acid rain ozone global warming climate changejusta few in my 58 years on the planet common factor a segment of people who are death cultests egged on by the media,ShutupPumpkin,2019-09-24 12:21:04
 amykremer covington kids appeared to be mocking american native citizen public consensus seems to be divided on this greta thunberg is fighting for climate change action how do you compare these two things,cathy carroll,2019-09-24 12:21:04
 priyanka choprass instagram feed probably emits more carbon dioxide than the whole of africa and she talks about climate change,The Kaipullai,2019-09-24 12:21:03
